N,K,method_id,label,throughput_mbps,se_bps_per_hz
8,50,random,Random,73.81149916976784,3.690574958488392
8,50,random,Random,97.02366506966574,4.8511832534832875
8,50,random,Random,48.39137314212063,2.4195686571060313
8,50,random,Random,38.15334365845519,1.9076671829227596
8,50,random,Random,40.58671813830177,2.0293359069150885
8,50,random,Random,51.657960192470114,2.5828980096235057
8,50,random,Random,98.46284659053144,4.923142329526572
8,50,random,Random,87.81344691049227,4.390672345524614
8,50,random,Random,56.50140194358869,2.8250700971794345
8,50,random,Random,74.63993385868066,3.7319966929340334
8,50,random,Random,94.53036045997061,4.726518022998531
8,50,random,Random,42.15025750174701,2.1075128750873504
8,50,random,Random,63.01866208636683,3.1509331043183417
8,50,random,Random,86.60412790691154,4.330206395345577
8,50,random,Random,64.52130258456464,3.226065129228232
8,50,random,Random,102.21762989748791,5.110881494874396
8,50,random,Random,100.63216791776863,5.031608395888432
8,50,random,Random,41.77792834339357,2.0888964171696784
8,50,random,Random,92.86651686461998,4.643325843231
8,50,random,Random,45.173536510434786,2.2586768255217393
8,50,random,Random,92.45935088404916,4.622967544202458
8,50,random,Random,41.53107076316887,2.0765535381584437
8,50,random,Random,49.048707880986505,2.452435394049325
8,50,random,Random,94.57152614487966,4.728576307243983
8,50,random,Random,71.89779931197297,3.594889965598649
8,50,random,Random,106.53189420073952,5.326594710036976
8,50,random,Random,102.67645039038777,5.133822519519389
8,50,random,Random,71.52818733985299,3.5764093669926496
8,50,random,Random,28.983959485422766,1.4491979742711383
8,50,random,Random,104.8911317200018,5.2445565860000904
8,50,random,Random,54.889205879141905,2.7444602939570952
8,50,random,Random,108.20892415224573,5.410446207612287
8,50,random,Random,79.13035473273587,3.9565177366367936
8,50,random,Random,87.17691819220762,4.358845909610381
8,50,random,Random,112.73839562167645,5.636919781083822
8,50,random,Random,76.2171691707628,3.8108584585381404
8,50,random,Random,70.34931940980726,3.5174659704903632
8,50,random,Random,104.89425877956397,5.244712938978198
8,50,random,Random,76.27768813737045,3.8138844068685227
8,50,random,Random,92.56020407751791,4.6280102038758955
8,50,random,Random,39.03275371633967,1.9516376858169835
8,50,random,Random,103.60057458210136,5.180028729105068
8,50,random,Random,76.44781656021752,3.822390828010876
8,50,random,Random,22.138691694215808,1.1069345847107903
8,50,random,Random,111.19170290832896,5.559585145416448
8,50,random,Random,79.16681306635259,3.9583406533176295
8,50,random,Random,91.44158004473545,4.572079002236772
8,50,random,Random,87.82603800146708,4.391301900073354
8,50,random,Random,74.24039385210901,3.712019692605451
8,50,random,Random,90.24215913366402,4.5121079566832005
8,50,random,Random,28.938246494709833,1.4469123247354918
8,50,random,Random,85.53888689881025,4.276944344940513
8,50,random,Random,85.3886226488582,4.26943113244291
8,50,random,Random,15.387393829980752,0.7693696914990376
8,50,random,Random,73.94606411056094,3.697303205528047
8,50,random,Random,39.18178652369318,1.9590893261846587
8,50,random,Random,91.45392696744192,4.572696348372096
8,50,random,Random,37.481468088939145,1.8740734044469574
8,50,random,Random,60.57738931805769,3.0288694659028845
8,50,random,Random,89.57107833870825,4.478553916935413
8,50,random,Random,70.40264571826576,3.520132285913288
8,50,random,Random,66.92978211209221,3.3464891056046104
8,50,random,Random,92.24989517619369,4.612494758809684
8,50,random,Random,79.59849638194926,3.979924819097463
8,50,random,Random,87.77606174255307,4.388803087127654
8,50,random,Random,90.27512819503767,4.513756409751883
8,50,random,Random,63.409425629509876,3.1704712814754936
8,50,random,Random,95.477435507918,4.7738717753959
